"Player","From","To","Pos","Ht","Wt","Birth Date","Colleges"
"joe dumars",1986,1999,"G","6-3",190,"May 24, 1963","McNeese State University"
"rich dumas",1969,1969,"G","6-3",170,"","Northeastern State University"
"richard dumas",1993,1996,"F","6-7",200,"May 19, 1969","Oklahoma State University"
"tony dumas",1995,1998,"G","6-6",190,"August 25, 1972","University of Missouri-Kansas City"
"andy duncan",1949,1951,"F-C","6-6",195,"April 17, 1922","College of William & Mary"
"tim duncan",1998,2016,"F-C","6-11",250,"April 25, 1976","Wake Forest University"
"mike dunleavy",1977,1990,"G","6-3",180,"March 21, 1954","University of South Carolina"
"mike dunleavy",2003,2017,"F-G","6-9",230,"September 15, 1980","Duke University"
"kris dunn",2017,2018,"G","6-4",210,"March 18, 1994","Providence College"
"pat dunn",1958,1958,"G","6-2",170,"March 17, 1931","Utah State University"
"tr dunn",1978,1991,"G-F","6-4",192,"February 1, 1955","University of Alabama"
"ronald dupree",2004,2011,"F","6-7",209,"January 26, 1981","Louisiana State University"
"kevin durant",2008,2018,"F-G","6-9",240,"September 29, 1988","University of Texas at Austin"
"john duren",1981,1983,"G","6-3",195,"October 30, 1958","Georgetown University"
"jarrett durham",1972,1972,"F","6-5",188,"August 22, 1949","Duquesne University"
"pat durham",1993,1995,"F","6-7",210,"March 10, 1967","Colorado State University"
"devin durrant",1985,1986,"F","6-7",200,"October 20, 1960","Brigham Young University"
"ken durrett",1972,1975,"F","6-7",190,"December 8, 1948","La Salle University"
"dennis duval",1975,1976,"G","6-3",175,"March 31, 1952","Syracuse University"
"jack dwan",1949,1949,"F-G","6-4",200,"May 3, 1921","Loyola University of Chicago"
"craig dykema",1982,1982,"F","6-8",190,"June 11, 1959","California State University, Long Beach"
"gene dyker",1954,1954,"F","6-6",225,"February 17, 1930","DePaul University"
"jerome dyson",2012,2012,"G","6-3",180,"May 1, 1987","University of Connecticut"
"ledell eackles",1989,1998,"G-F","6-5",220,"November 24, 1966","University of New Orleans"
"jim eakins",1969,1978,"C","6-11",215,"May 24, 1946","Brigham Young University"
"acie earl",1994,1997,"F-C","6-10",240,"June 23, 1970","University of Iowa"
"ed earle",1954,1954,"F","6-3",190,"April 28, 1927","Loyola University of Chicago"
"cleanthony early",2015,2016,"F","6-8",210,"April 17, 1991","Wichita State University"
"penny early",1969,1969,"G","5-3",114,"May 30, 1943",""
"mark eaton",1983,1993,"C","7-4",275,"January 24, 1957","University of California, Los Angeles"
"jerry eaves",1983,1987,"G","6-4",180,"February 8, 1959","University of Louisville"
"devin ebanks",2011,2013,"F","6-9",215,"October 28, 1989","West Virginia University"
"bill ebben",1958,1958,"G","6-4",190,"October 7, 1935","University of Detroit Mercy"
"al eberhard",1975,1978,"F","6-6",225,"May 10, 1952","University of Missouri"
"ndudi ebi",2004,2005,"F","6-9",200,"June 18, 1984",""
"roy ebron",1974,1974,"C","6-9",220,"August 31, 1951","University of Louisiana at Lafayette"
"jarell eddie",2016,2018,"G-F","6-7",218,"October 30, 1991","Virginia Polytechnic Institute and State University"
"patrick eddie",1992,1992,"C","6-11",240,"December 27, 1967","Arkansas State University, University of Mississippi"
"dike eddleman",1950,1953,"F-G","6-3",189,"December 27, 1922","University of Illinois at Urbana-Champaign"
"kenton edelin",1985,1985,"F","6-8",205,"May 24, 1962","University of Virginia"
"charles edge",1974,1975,"F","6-6",210,"February 23, 1950","LeMoyne-Owen College"
"bobby edmonds",1968,1970,"F","6-6",220,"March 8, 1941","Tennessee State University"
"keith edmonson",1983,1984,"G","6-5",195,"September 28, 1960","Purdue University"
"tyus edney",1996,2001,"G","5-10",152,"February 14, 1973","University of California, Los Angeles"
"bill edwards",1994,1994,"F","6-8",215,"September 22, 1971","Wright State University"
"blue edwards",1990,1999,"G-F","6-4",200,"October 31, 1965","East Carolina University"
"corsley edwards",2005,2005,"F","6-9",275,"March 5, 1979","Central Connecticut State University"
"doug edwards",1994,1996,"F","6-7",220,"January 21, 1971","Florida State University"
"franklin edwards",1982,1988,"G","6-1",170,"February 2, 1959","Cleveland State University"
"james edwards",1978,1996,"C-F","7-0",225,"November 22, 1955","University of Washington"
"jay edwards",1990,1990,"G","6-4",185,"January 3, 1969","Indiana University"
"john edwards",2005,2006,"C","7-0",275,"July 31, 1981","Kent State University"
"kevin edwards",1989,2001,"G","6-3",190,"October 30, 1965","DePaul University"
"shane edwards",2014,2014,"F","6-7",220,"May 31, 1987","University of Arkansas at Little Rock"
"johnny egan",1962,1972,"G","5-11",180,"January 31, 1939","Providence College"
"lonnie eggleston",1949,1949,"G","6-0",170,"June 8, 1918","Oklahoma State University"
"bulbs ehlers",1948,1949,"F-G","6-3",198,"March 10, 1923","Purdue University"
"craig ehlo",1984,1997,"G-F","6-6",180,"August 11, 1961","Washington State University"
"rich eichhorst",1962,1962,"G","6-3",200,"October 21, 1933","Southeast Missouri State University"
"howard eisley",1995,2006,"G","6-2",177,"December 4, 1972","Boston College"
"obinna ekezie",2000,2005,"F-C","6-9",270,"August 22, 1975","University of Maryland"
"khalid el amin",2001,2001,"G","5-10",200,"April 25, 1979","University of Connecticut"
"don eliason",1947,1947,"F","6-2",210,"July 24, 1918","Hamline University"
"mario elie",1991,2001,"G-F","6-5",210,"November 26, 1963","American International College"
"ray ellefson",1949,1951,"C","6-8",230,"November 18, 1922","West Texas A&M University"
"henry ellenson",2017,2018,"F","6-11",245,"January 13, 1997","Marquette University"
"wayne ellington",2010,2018,"G","6-4",200,"October 29, 1987","University of North Carolina"
"bob elliott",1979,1981,"C-F","6-9",225,"August 18, 1955","University of Arizona"
"sean elliott",1990,2001,"F","6-8",205,"February 2, 1968","University of Arizona"
"bo ellis",1978,1980,"F","6-9",197,"August 8, 1954","Marquette University"
"boo ellis",1959,1960,"F","6-5",185,"February 11, 1936","Niagara University"
"dale ellis",1984,2000,"G-F","6-7",205,"August 6, 1960","University of Tennessee"
"harold ellis",1994,1998,"G","6-5",200,"October 7, 1970","Morehouse College"
"joe ellis",1967,1974,"F-G","6-6",175,"May 3, 1944","University of San Francisco"
"laphonso ellis",1993,2003,"F","6-8",240,"May 5, 1970","University of Notre Dame"
"leron ellis",1992,1996,"F-C","6-9",225,"April 28, 1969","University of Kentucky, Syracuse University"
"leroy ellis",1963,1976,"C-F","6-10",210,"March 10, 1940","St. John's University"
"monta ellis",2006,2017,"G","6-3",185,"October 26, 1985",""
"pervis ellison",1990,2001,"F-C","6-9",210,"April 3, 1967","University of Louisville"
"len elmore",1975,1984,"C-F","6-9",220,"March 28, 1952","University of Maryland"
"francisco elson",2004,2012,"C","7-0",235,"February 28, 1976","University of California"
"darrell elston",1975,1977,"G","6-4",190,"August 15, 1952","University of North Carolina"
"melvin ely",2003,2014,"C","6-10",260,"May 2, 1978","California State University, Fresno"
"joel embiid",2017,2018,"C","7-0",250,"March 16, 1994","University of Kansas"
"wayne embry",1959,1969,"C-F","6-8",240,"March 26, 1937","Miami University"
"andre emmett",2005,2012,"F","6-5",230,"August 27, 1982","Texas Tech University"
"ned endress",1947,1947,"F-G","6-2",200,"March 2, 1918","University of Akron"
"chris engler",1983,1988,"C","6-11",245,"March 1, 1959","University of Minnesota, University of Wyoming"
"wayne englestad",1989,1989,"F","6-8",245,"December 6, 1966","University of California, Irvine"
"aj english",1991,1992,"G","6-3",175,"July 11, 1967","Virginia Union University"
"alex english",1977,1991,"F","6-7",190,"January 5, 1954","University of South Carolina"
"claude english",1971,1971,"F","6-4",185,"December 26, 1946","University of Rhode Island"
"jo jo english",1993,1995,"G","6-4",195,"February 4, 1970","University of South Carolina"
"kim english",2013,2013,"G","6-6",200,"September 24, 1988","University of Missouri"
"scott english",1973,1975,"F","6-6",205,"October 20, 1950","University of Texas at El Paso"
"gene englund",1950,1950,"F-C","6-5",205,"October 21, 1917","University of Wisconsin"
"james ennis",2015,2018,"F","6-7",210,"July 1, 1990","California State University, Long Beach"
"tyler ennis",2015,2018,"G","6-3",194,"August 24, 1994","Syracuse University"
"ray epps",1979,1979,"F","6-6",195,"August 20, 1956","Norfolk State University"
"semih erden",2011,2012,"C","7-0",240,"July 28, 1986",""
"bo erias",1958,1958,"F","6-3",220,"July 30, 1932","Niagara University"
"keith erickson",1966,1977,"F-G","6-5",195,"April 19, 1944","University of California, Los Angeles"
"julius erving",1972,1987,"F-G","6-7",210,"February 22, 1950","University of Massachusetts Amherst"
"evan eschmeyer",2000,2003,"C","6-11",255,"May 30, 1975","Northwestern University"
"jack eskridge",1949,1949,"C-F","6-5",200,"January 21, 1924","University of Kansas"
"vincenzo esposito",1996,1996,"G","6-3",198,"January 3, 1969",""
"billy evans",1970,1970,"G","6-0",170,"March 3, 1947","Boston College"
"bob evans",1950,1950,"G","6-2",175,"May 31, 1925","Butler University"
"brian evans",1997,1999,"F","6-8",220,"September 13, 1973","Indiana University"
"earl evans",1980,1980,"F","6-8",202,"November 11, 1955","University of Southern California, University of Nevada, Las Vegas"
"jawun evans",2018,2018,"G","6-0",185,"July 26, 1996","Oklahoma State University"
"jeremy evans",2011,2016,"F","6-9",200,"October 24, 1987","Western Kentucky University"
"maurice evans",2002,2012,"G","6-5",220,"November 8, 1978","Wichita State University, University of Texas at Austin"
"mike evans",1980,1988,"G","6-1",170,"April 19, 1955","Kansas State University"
"reggie evans",2003,2015,"F","6-8",245,"May 18, 1980","University of Iowa"
"tyreke evans",2010,2018,"G-F","6-6",220,"September 19, 1989","University of Memphis"
"daniel ewing",2006,2007,"G","6-3",185,"March 26, 1983","Duke University"
"patrick ewing",1986,2002,"C-F","7-0",240,"August 5, 1962","Georgetown University"
"patrick ewing",2011,2011,"F","6-8",235,"May 20, 1984","Indiana University, Georgetown University"
"dante exum",2015,2018,"G","6-6",190,"July 13, 1995",""
"christian eyenga",2011,2012,"F","6-5",210,"June 22, 1989",""
"festus ezeli",2013,2016,"C","6-11",255,"October 21, 1989","Vanderbilt University"
"johnny ezersky",1948,1950,"F-G","6-3",175,"March 21, 1922","University of Rhode Island"
"joe fabel",1947,1947,"F-G","6-1",190,"September 4, 1913","University of Pittsburgh"
"john fairchild",1966,1970,"F","6-8",205,"April 28, 1943","Brigham Young University"
"phil farbman",1949,1949,"F","6-1",185,"April 3, 1924","City College of New York"
"kenneth faried",2012,2018,"F","6-8",228,"November 19, 1989","Morehead State University"
"dick farley",1955,1959,"G-F","6-4",190,"April 13, 1932","Indiana University"
"jordan farmar",2007,2017,"G","6-2",180,"November 30, 1986","University of California, Los Angeles"
"desmon farmer",2007,2009,"G","6-5",220,"October 7, 1981","University of Southern California"
"jim farmer",1988,1994,"G","6-4",190,"September 23, 1964","University of Alabama"
"mike farmer",1959,1966,"F","6-7",210,"September 26, 1936","University of San Francisco"
"tony farmer",1998,2000,"F","6-9",244,"January 3, 1970","San Jose State University, University of Nebraska"
"bob faught",1947,1947,"F","6-5",185,"September 2, 1921","University of Notre Dame"
"vitor faverani",2014,2014,"C","6-11",260,"May 5, 1988",""
"derrick favors",2011,2018,"F-C","6-10",265,"July 15, 1991","Georgia Institute of Technology"
"nick fazekas",2008,2008,"F","6-11",235,"June 17, 1985","University of Nevada, Reno"
"dave fedor",1963,1963,"F","6-6",190,"December 10, 1940","Florida State University"
"bob feerick",1947,1950,"F-G","6-3",190,"January 2, 1920","Santa Clara University"
"butch feher",1977,1977,"G","6-4",185,"May 19, 1954","Vanderbilt University"
"jamie feick",1997,2001,"C","6-9",255,"July 3, 1974","Michigan State University"
"ron feiereisel",1956,1956,"G","6-3",185,"August 6, 1931","DePaul University"
"george feigenbaum",1950,1953,"G","6-1",185,"July 2, 1929","University of Kentucky"
"dave feitl",1987,1992,"C","6-11",235,"June 8, 1962","University of Texas at El Paso"
"kay felder",2017,2018,"G","5-9",176,"March 29, 1995","Oakland University"
"cristiano felicio",2016,2018,"F-C","6-10",275,"July 7, 1992",""
"carrick felix",2014,2014,"G","6-6",201,"August 17, 1990","Arizona State University"
"noel felix",2006,2006,"F","6-9",225,"October 4, 1981","California State University, Fresno"
"ray felix",1954,1962,"C","6-11",220,"December 10, 1930","Long Island University"
"raymond felton",2006,2018,"G","6-1",205,"June 26, 1984","University of North Carolina"
"jake fendley",1952,1953,"G","6-0",180,"June 12, 1929","Northwestern University"
"warren fenley",1947,1947,"F","6-3",190,"February 8, 1922","Manhattan College"
"desmond ferguson",2004,2004,"G-F","6-7",203,"July 22, 1977","University of Missouri, University of Detroit Mercy"
"terrance ferguson",2018,2018,"G-F","6-7",184,"May 17, 1998",""
"rudy fernandez",2009,2012,"G","6-6",185,"April 4, 1985",""
"eric fernsten",1976,1984,"C-F","6-10",205,"November 1, 1953","University of San Francisco"
"al ferrari",1956,1963,"G-F","6-4",190,"July 6, 1933","Michigan State University"
"rolando ferreira",1989,1989,"C","7-1",240,"May 24, 1964","University of Houston"
"duane ferrell",1989,1999,"F-G","6-7",209,"February 28, 1965","Georgia Institute of Technology"
"yogi ferrell",2017,2018,"G","6-0",180,"May 9, 1993","Indiana University"
"arnie ferrin",1949,1951,"F-G","6-2",180,"July 29, 1925","University of Utah"
"bob ferry",1960,1969,"C-F","6-8",230,"May 31, 1937","Saint Louis University"
"danny ferry",1991,2003,"F","6-10",230,"October 17, 1966","Duke University"
"kyrylo fesenko",2008,2012,"C","7-1",288,"December 24, 1986",""
"bobby fields",1972,1972,"G","6-3",175,"October 20, 1949","La Salle University"
"kenny fields",1985,1988,"F-G","6-5",220,"February 9, 1962","University of California, Los Angeles"
"landry fields",2011,2015,"F","6-7",210,"June 27, 1988","Stanford University"
"ron filipek",1968,1968,"F","6-5",205,"February 5, 1944","Tennessee Technological University"
"greg fillmore",1971,1972,"C","7-1",240,"March 7, 1947","Cheyney University of Pennsylvania"
"larry finch",1974,1975,"G","6-2",185,"February 16, 1951","University of Memphis"
"hank finkel",1967,1975,"C","7-0",240,"April 20, 1942","University of Dayton"
"michael finley",1996,2010,"G-F","6-7",215,"March 6, 1973","University of Wisconsin"
"danny finn",1953,1955,"G","6-1",185,"May 29, 1928","St. John's University"
"dorian finney smith",2017,2018,"F","6-8",220,"May 4, 1993","University of Florida"
"matt fish",1995,1997,"C","6-11",235,"November 18, 1969","University of North Carolina at Wilmington"
"derek fisher",1997,2014,"G","6-1",200,"August 9, 1974","University of Arkansas at Little Rock"
"richard fisher",1972,1972,"F","6-5",215,"October 27, 1948","Colorado State University"
"gerald fitch",2006,2006,"G","6-3",188,"August 12, 1982","University of Kentucky"
"bob fitzgerald",1947,1949,"F-C","6-5",190,"March 14, 1923","Seton Hall University"
"dick fitzgerald",1947,1948,"F","6-2",175,"November 18, 1920","Fordham University"
"marcus fizer",2001,2006,"F","6-9",262,"August 10, 1978","Iowa State University"
"jerry fleishman",1947,1953,"G-F","6-2",190,"February 14, 1922","New York University"
"al fleming",1978,1978,"F","6-7",215,"April 5, 1954","University of Arizona"
"ed fleming",1956,1960,"G-F","6-3",189,"July 25, 1933","Niagara University"
"vern fleming",1985,1996,"G","6-5",185,"February 4, 1962","University of Georgia"
"luis flores",2005,2005,"G","6-2",200,"April 11, 1981","Rutgers University, Manhattan College"
"bruce flowers",1983,1983,"F","6-8",225,"June 13, 1957","University of Notre Dame"
